time,R,G,B

1657686513_314338,145.58126653439155,145.40021494708995,145.53993055555554
1657686606_353847,129.59928902116403,129.74677579365078,129.932457010582
1657686956_953728,253.1159169550173,252.4809688581315,252.47923875432525
1657687063_795969,104.1987433862434,104.00008267195767,103.06622023809524
1657687392_869175,145.58126653439155,145.40021494708995,145.53993055555554
1658243078_395481,113.24669312169313,113.28957231040565,113.54420194003528
